mnemonic	summary	kind	standard_status	in_anno	in_ydb	ansi_code	anno_section	ydb_section	conflict_id	notes
ABNCOMPTINC	Deviceparameter xxxx and deviceparameter yyyy are not compatible in the zzzz command	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ABNCOMPTINC		
ACOMPTBINC	Deviceparameter xxxx is compatible with only yyyy in the command zzzz	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ACOMPTBINC		
ACTCOLLMISMTCH	Global ^gggg inherits alternative collation sequence #nnnn from global directory but database file dddd contains different collation sequence #mmmm for this global	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ACTCOLLMISMTCH		
ACTIVATEFAIL	Cannot activate passive source server on instance iiii while a receiver server and/or update process is running	Error	ydb-extension	false	true			MessageRecovery/errors.rst#ACTIVATEFAIL		
ACTLSTTOOLONG	More actual parameters than formal parameters: xxxx	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ACTLSTTOOLONG		
ACTOFFSET	Actuallist not allowed with offset	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ACTOFFSET		
ACTRANGE	Alternate Collating Type xxxx is out of range	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ACTRANGE		
ADDRTOOLONG	Socket address xxxx of length aaaa is longer than the maximum permissible length bbbb	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ADDRTOOLONG		
AIMGBLKFAIL	After image build for block bbbb in region rrrr failed in DSE or MUPIP	Error	ydb-extension	false	true			MessageRecovery/errors.rst#AIMGBLKFAIL		
AIOBUFSTUCK	Waited mmmm minutes for PID: pppp to finish AIO disk write of block: bbbb xxxx aio_error=yyyy	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#AIOBUFSTUCK		
AIOCANCELTIMEOUT	Pid pppp timed out waiting for pending async io to complete/cancel in database file ffff	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#AIOCANCELTIMEOUT		
AIOQUEUESTUCK	Waited mmmm minutes for AIO work queue to complete (cr = rrrr)	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#AIOQUEUESTUCK		
ALIASEXPECTED	Alias or alias container variable expected in this context	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ALIASEXPECTED		
AMBISYIPARAM	Parameter xxxx is ambiguous to $ZGETSYI()	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#AMBISYIPARAM		
ANCOMPTINC	Deviceparameter xxxx is not compatible with any other deviceparameters in the yyyy command	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ANCOMPTINC		
APDCONNFAIL	Audit Principal Device failed to connect to audit logger	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#APDCONNFAIL		
APDINITFAIL	Audit Principal Device failed to initialize audit information	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#APDINITFAIL		
APDLOGFAIL	Audit Principal Device failed to log activity	Run Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#APDLOGFAIL		
ARCTLMAXHIGH	The environment variable XXXX = YYYY is too high. Assuming the maximum acceptable value of ZZZZ	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#ARCTLMAXHIGH		
ARCTLMAXLOW	The environment variable XXXX = YYYY is too low. Assuming the minimum acceptable value of ZZZZ	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#ARCTLMAXLOW		
ARGSLONGLINE	Entered line is greater than maximum characters allowed (nnnn)	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#ARGSLONGLINE		
ARGTRUNC	UUUU argument number CCCC truncated. Keep the size of total command line within NNNN bytes	Warning	ydb-extension	false	true			MessageRecovery/errors.rst#ARGTRUNC		
ARROWNTDSP	Unable to display ^----- due to length of source line	Compile Time Error	ydb-extension	false	true			MessageRecovery/errors.rst#ARROWNTDSP		
